order,family,name,FA_age,LA_age
Monograptina,Monograptidae,Abiesograptus longiramus Jaeger 1959,417.5847,415.8787
Monograptina,Monograptidae,Abiesograptus multiramus Hundt 1935,415.9007,415.8935
Monograptina,Monograptidae,Abiesograptus tenuiramus Hundt 1935,418.8967,415.7242
Dichograptoidea,Dichograptidae,Abrograptus formosus,460.5253,460.4901
Dichograptoidea,Sigmagraptidae,Acrograptus aequabilis,473.2829143,473.2829143
Dichograptoidea,Sigmagraptidae,Acrograptus compressus,465.8358145,465.8358145
Dichograptoidea,Sigmagraptidae,Acrograptus formusus zhitangensis,461.4292233,461.4292233
Dichograptoidea,Sigmagraptidae,Acrograptus acutidens (Elles & Wood) 1901,464.2989,459.3146
Dichograptoidea,Sigmagraptidae,Acrograptus acutidens early,472.6792,472.6683
Dichograptoidea,Sigmagraptidae,Acrograptus adamantinus,474.8095,474.3597
Dichograptoidea,Sigmagraptidae,Acrograptus affinis (Nicholson) 1869,476.1647,460.5989
Dichograptoidea,Sigmagraptidae,Acrograptus cognatus (Harris & Thomas) 1935,462.6308,462.1439
Dichograptoidea,Sigmagraptidae,Acrograptus crassus (Monsen),470.6429,470.6282
Dichograptoidea,Sigmagraptidae,Acrograptus ellesi_aff _Caballe et al. 2005,466.859,466.8535
Dichograptoidea,Sigmagraptidae,Acrograptus euodus Lapworth 1875,460.5358,459.3146
Dichograptoidea,Sigmagraptidae,Acrograptus filiformis (Tullberg) 1880,475.5017,470.7529
Dichograptoidea,Sigmagraptidae,Acrograptus gracilis (Toernquist) 1890,473.4586,465.2919
Dichograptoidea,Sigmagraptidae,Acrograptus infrequens J.Kraft 1973,470.2876,469.9463
Dichograptoidea,Sigmagraptidae,Acrograptus lipoldi Boucek 1933,463.9196,463.8665
Dichograptoidea,Sigmagraptidae,Acrograptus nicholsoni apartus,476.1603,473.2829
Dichograptoidea,Sigmagraptidae,Acrograptus nicholsoni nicholsoni Lapworth 187,475.0138,468.5269
Dichograptoidea,Sigmagraptidae,Acrograptus nicholsoni nicholsoni late Lapwort,462.7669,460.3439
Dichograptoidea,Sigmagraptidae,Acrograptus nicholsoni planus (Elles & Wood) 1,465.5114,459.3146
